22:00:47 13/09, info: cam1: 14 fps, 9kb/s, 
22:00:47 13/09, info: cam1: 14 fps, 9kb/s, 
22:00:48 13/09, info: cam1: 14 fps, 15kb/s, 
22:00:48 13/09, info: cam1: 14 fps, 15kb/s, 
22:00:48 13/09, info: cam1: 14 fps, 15kb/s, 
22:00:48 13/09, info: cam1: 14 fps, 15kb/s, 
22:00:49 13/09, info: cam1: 14 fps, 15kb/s, 
22:00:49 13/09, info: cam1: 14 fps, 12kb/s, 
22:00:49 13/09, info: cam1: 14 fps, 12kb/s, 
22:00:49 13/09, info: cam1: 14 fps, 12kb/s, 
22:00:50 13/09, info: cam1: 14 fps, 12kb/s, 
22:00:50 13/09, info: cam1: 14 fps, 13kb/s, 
22:00:50 13/09, info: cam1: 14 fps, 13kb/s, 
22:00:50 13/09, info: cam1: 14 fps, 13kb/s, 
22:00:51 13/09, info: cam1: 14 fps, 13kb/s, 
22:00:51 13/09, info: cam1: 14 fps, 13kb/s, 
22:00:51 13/09, info: cam1: 14 fps, 13kb/s, 
22:00:51 13/09, info: cam1: 14 fps, 13kb/s, 
22:00:52 13/09, info: cam1: 15 fps, 13kb/s, 
22:00:52 13/09, info: cam1: 15 fps, 18kb/s, 
22:00:52 13/09, info: cam1: 15 fps, 18kb/s, 
22:00:52 13/09, info: cam1: 15 fps, 18kb/s, 
22:00:53 13/09, info: cam1: 14 fps, 18kb/s, 
22:00:53 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:53 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:53 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:54 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:54 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:54 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:54 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:55 13/09, info: cam1: 15 fps, 16kb/s, 
22:00:55 13/09, info: cam1: 15 fps, 14kb/s, 
22:00:55 13/09, info: cam1: 15 fps, 14kb/s, 
22:00:55 13/09, info: cam1: 15 fps, 14kb/s, 
22:00:56 13/09, info: cam1: 14 fps, 14kb/s, 
22:00:56 13/09, info: cam1: 14 fps, 19kb/s, 
22:00:56 13/09, info: cam1: 14 fps, 19kb/s, 
22:00:56 13/09, info: cam1: 14 fps, 19kb/s, 
22:00:57 13/09, info: cam1: 14 fps, 19kb/s, 
22:00:57 13/09, info: cam1: 14 fps, 19kb/s, 
22:00:57 13/09, info: cam1: 14 fps, 8kb/s, 
22:00:57 13/09, info: cam1: 14 fps, 8kb/s, 
22:00:58 13/09, info: cam1: 14 fps, 8kb/s, 
22:00:58 13/09, info: cam1: 14 fps, 8kb/s, 
22:00:58 13/09, info: cam1: 14 fps, 12kb/s, 
22:00:58 13/09, info: cam1: 14 fps, 12kb/s, 
22:00:59 13/09, info: cam1: 14 fps, 12kb/s, 
22:00:59 13/09, info: cam1: 14 fps, 12kb/s, 
22:00:59 13/09, info: cam1: 14 fps, 10kb/s, 
22:00:59 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:00 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:00 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:00 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:00 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:01 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:01 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:01 13/09, info: cam1: 14 fps, 8kb/s, 
22:01:01 13/09, info: cam1: 14 fps, 8kb/s, 
22:01:02 13/09, info: cam1: 14 fps, 8kb/s, 
22:01:02 13/09, info: cam1: 14 fps, 8kb/s, 
22:01:02 13/09, info: cam1: 14 fps, 8kb/s, 
22:01:02 13/09, info: cam1: 14 fps, 8kb/s, 
22:01:03 13/09, info: cam1: 14 fps, 8kb/s, 
22:01:03 13/09, info: cam1: 14 fps, 8kb/s, 
22:01:03 13/09, info: cam1: 13 fps, 8kb/s, 
22:01:03 13/09, info: cam1: 13 fps, 168kb/s, 
22:01:04 13/09, info: cam1: 13 fps, 168kb/s, 
22:01:04 13/09, info: cam1: 13 fps, 168kb/s, 
22:01:04 13/09, info: cam1: 21 fps, 168kb/s, 
22:01:04 13/09, info: cam1: 21 fps, 6kb/s, 
22:01:05 13/09, info: cam1: 21 fps, 6kb/s, 
22:01:05 13/09, info: cam1: 21 fps, 6kb/s, 
22:01:05 13/09, info: cam1: 14 fps, 6kb/s, 
22:01:05 13/09, info: cam1: 14 fps, 8kb/s, 
22:01:06 13/09, info: cam1: 14 fps, 8kb/s, 
22:01:06 13/09, info: cam1: 14 fps, 8kb/s, 
22:01:06 13/09, info: cam1: 14 fps, 8kb/s, 
22:01:06 13/09, info: cam1: 14 fps, 11kb/s, 
22:01:07 13/09, info: cam1: 14 fps, 11kb/s, 
22:01:07 13/09, info: cam1: 14 fps, 11kb/s, 
22:01:07 13/09, info: cam1: 14 fps, 11kb/s, 
22:01:07 13/09, info: cam1: 14 fps, 11kb/s, 
22:01:08 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:08 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:08 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:08 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:09 13/09, info: cam1: 14 fps, 8kb/s, 
22:01:09 13/09, info: cam1: 14 fps, 8kb/s, 
22:01:09 13/09, info: cam1: 15 fps, 8kb/s, 
22:01:09 13/09, info: cam1: 15 fps, 8kb/s, 
22:01:10 13/09, info: cam1: 15 fps, 9kb/s, 
22:01:10 13/09, info: cam1: 15 fps, 9kb/s, 
22:01:10 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:10 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:11 13/09, info: cam1: 14 fps, 14kb/s, 
22:01:11 13/09, info: cam1: 14 fps, 14kb/s, 
22:01:11 13/09, info: cam1: 14 fps, 14kb/s, 
22:01:11 13/09, info: cam1: 14 fps, 14kb/s, 
22:01:12 13/09, info: cam1: 14 fps, 14kb/s, 
22:01:12 13/09, info: cam1: 14 fps, 11kb/s, 
22:01:12 13/09, info: cam1: 14 fps, 11kb/s, 
22:01:12 13/09, info: cam1: 14 fps, 11kb/s, 
22:01:13 13/09, info: cam1: 14 fps, 11kb/s, 
22:01:13 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:13 13/09, info: cam1: 15 fps, 12kb/s, 
22:01:13 13/09, info: cam1: 15 fps, 12kb/s, 
22:01:14 13/09, info: cam1: 15 fps, 12kb/s, 
22:01:14 13/09, info: cam1: 15 fps, 12kb/s, 
22:01:14 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:14 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:15 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:15 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:15 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:15 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:16 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:16 13/09, info: cam1: 14 fps, 7kb/s, 
22:01:16 13/09, info: cam1: 14 fps, 7kb/s, 
22:01:16 13/09, info: cam1: 15 fps, 7kb/s, 
22:01:17 13/09, info: cam1: 15 fps, 7kb/s, 
22:01:17 13/09, info: cam1: 15 fps, 7kb/s, 
22:01:17 13/09, info: cam1: 15 fps, 12kb/s, 
22:01:17 13/09, info: cam1: 15 fps, 12kb/s, 
22:01:18 13/09, info: cam1: 15 fps, 12kb/s, 
22:01:18 13/09, info: cam1: 15 fps, 12kb/s, 
22:01:18 13/09, info: cam1: 15 fps, 6kb/s, 
22:01:18 13/09, info: cam1: 15 fps, 6kb/s, 
22:01:19 13/09, info: cam1: 15 fps, 6kb/s, 
22:01:19 13/09, info: cam1: 15 fps, 6kb/s, 
22:01:19 13/09, info: cam1: 15 fps, 10kb/s, 
22:01:19 13/09, info: cam1: 15 fps, 10kb/s, 
22:01:20 13/09, info: cam1: 15 fps, 10kb/s, 
22:01:20 13/09, info: cam1: 15 fps, 10kb/s, 
22:01:20 13/09, info: cam1: 15 fps, 13kb/s, 
22:01:20 13/09, info: cam1: 15 fps, 13kb/s, 
22:01:21 13/09, info: cam1: 14 fps, 13kb/s, 
22:01:21 13/09, info: cam1: 14 fps, 13kb/s, 
22:01:21 13/09, info: cam1: 14 fps, 14kb/s, 
22:01:21 13/09, info: cam1: 14 fps, 14kb/s, 
22:01:22 13/09, info: cam1: 15 fps, 14kb/s, 
22:01:22 13/09, info: cam1: 15 fps, 14kb/s, 
22:01:22 13/09, info: cam1: 15 fps, 12kb/s, 
22:01:22 13/09, info: cam1: 15 fps, 12kb/s, 
22:01:23 13/09, info: cam1: 15 fps, 12kb/s, 
22:01:23 13/09, info: cam1: 15 fps, 12kb/s, 
22:01:23 13/09, info: cam1: 15 fps, 13kb/s, 
22:01:23 13/09, info: cam1: 15 fps, 13kb/s, 
22:01:24 13/09, info: cam1: 15 fps, 13kb/s, 
22:01:24 13/09, info: cam1: 15 fps, 13kb/s, 
22:01:24 13/09, info: cam1: 15 fps, 13kb/s, 
22:01:24 13/09, info: cam1: 15 fps, 14kb/s, 
22:01:25 13/09, info: cam1: 15 fps, 14kb/s, 
22:01:25 13/09, info: cam1: 15 fps, 14kb/s, 
22:01:25 13/09, info: cam1: 15 fps, 14kb/s, 
22:01:25 13/09, info: cam1: 15 fps, 15kb/s, 
